"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","R","HR","BB","HBP","SO"
"Astros","2309","6394","288","920","891","67","10.1 %","18.2 %",".221",".296",".274",".352",".495",".355","125","-9.5","196.6","-2.5","40.8","920","288","645","66","1166"
"Twins","2320","6392","307","939","906","28","8.2 %","20.9 %",".224",".300",".270",".338",".494",".347","116","-8.4","120.2","-26.7","31.0","939","307","525","81","1334"
"Yankees","2312","6245","306","943","904","55","9.1 %","23.0 %",".222",".306",".267",".339",".490",".346","117","-0.8","130.8","-14.5","32.7","943","306","569","49","1437"
"Dodgers","2413","6281","279","886","861","57","9.7 %","21.6 %",".215",".291",".257",".338",".472",".338","111","11.9","102.9","51.7","34.8","886","279","607","81","1356"
"Red Sox","2455","6475","245","901","857","68","9.1 %","21.3 %",".197",".313",".269",".340",".466",".338","106","-7.0","43.2","10.9","27.5","901","245","590","49","1382"
"Nationals","2327","6267","231","873","824","116","9.3 %","20.9 %",".190",".306",".265",".342",".454",".336","103","3.7","29.0","35.8","26.0","873","231","584","81","1308"
"Braves","2411","6302","249","855","824","89","9.8 %","23.3 %",".195",".305",".258",".336",".452",".332","102","11.0","26.4","46.2","26.9","855","249","619","60","1467"
"Cubs","2429","6195","256","814","783","45","9.4 %","23.6 %",".200",".297",".252",".331",".452",".330","102","-2.2","10.3","45.0","24.9","814","256","581","83","1460"
"Rockies","2452","6288","224","835","803","71","7.8 %","23.9 %",".190",".321",".265",".326",".456",".328","86","1.6","-116.4","16.8","10.1","835","224","489","43","1503"
"Athletics","2363","6269","257","845","800","49","9.2 %","21.3 %",".199",".282",".249",".327",".448",".327","107","-1.7","53.4","18.3","28.5","845","257","578","87","1338"
"Mets","2445","6290","242","791","767","56","8.2 %","22.0 %",".185",".299",".257",".328",".442",".325","104","-17.0","16.4","21.3","23.5","791","242","516","95","1384"
"Brewers","2514","6309","250","769","744","101","10.0 %","24.8 %",".192",".296",".246",".329",".438",".324","97","5.9","-20.2","64.6","24.2","769","250","629","72","1563"
"Rays","2459","6285","217","769","730","94","8.6 %","23.8 %",".178",".306",".254",".325",".431",".321","102","8.4","27.8","-13.0","23.0","769","217","542","73","1493"
"Diamondbacks","2418","6315","220","813","778","88","8.6 %","21.5 %",".182",".293",".252",".323",".434",".319","94","18.3","-32.1","68.5","23.4","813","220","540","70","1360"
"Indians","2321","6124","223","769","731","103","9.2 %","21.8 %",".183",".289",".250",".323",".432",".319","94","4.3","-45.5","31.9","19.7","769","223","563","50","1332"
"Rangers","2273","6204","223","810","765","131","8.6 %","25.4 %",".183",".304",".248",".319",".431",".317","88","12.0","-86.8","-37.5","9.2","810","223","534","67","1578"
"Angels","2425","6251","220","769","734","65","9.4 %","20.4 %",".175",".281",".247",".324",".422",".316","99","-6.1","-16.9","4.6","20.3","769","220","586","67","1276"
"Phillies","2431","6261","215","774","742","78","9.0 %","23.2 %",".181",".293",".246",".319",".427",".314","91","13.8","-59.6","71.3","20.8","774","215","562","57","1453"
"Cardinals","2413","6167","210","764","714","116","9.1 %","23.0 %",".170",".292",".245",".322",".415",".314","95","14.4","-30.6","61.4","22.4","764","210","561","76","1420"
"Mariners","2347","6199","239","758","730","115","9.5 %","25.5 %",".187",".287",".237",".316",".424",".314","98","13.4","0.0","-50.2","16.4","758","239","588","58","1581"
"Pirates","2441","6228","163","758","722","64","6.8 %","19.5 %",".156",".309",".265",".321",".420",".313","92","-4.6","-68.0","-22.1","10.8","758","163","425","63","1213"
"Reds","2462","6100","227","701","679","80","8.1 %","23.5 %",".178",".288",".244",".315",".422",".312","87","-16.7","-117.9","34.4","11.1","701","227","492","89","1436"
"Blue Jays","2354","6091","247","726","697","51","8.4 %","24.9 %",".192",".280",".236",".305",".428",".310","92","-7.0","-71.4","-25.7","11.5","726","247","509","45","1514"
"White Sox","2311","6042","182","708","676","63","6.3 %","25.6 %",".153",".329",".261",".314",".414",".309","93","5.3","-48.0","-52.2","11.0","708","182","378","66","1549"
"Orioles","2386","6189","213","729","698","84","7.5 %","23.2 %",".168",".293",".246",".310",".415",".308","88","2.0","-89.6","-63.8","6.4","729","213","462","71","1435"
"Padres","2413","6019","219","682","652","70","8.4 %","26.3 %",".172",".293",".238",".308",".410",".305","88","-11.1","-109.8","52.5","13.4","682","219","504","55","1581"
"Royals","2269","6080","162","691","655","117","7.5 %","23.1 %",".154",".301",".247",".309",".401",".302","84","-1.7","-124.2","5.4","9.3","691","162","456","59","1405"
"Giants","2493","6170","167","678","655","47","7.7 %","23.3 %",".153",".290",".239",".302",".392",".295","83","-3.4","-143.1","46.1","10.0","678","167","475","50","1435"
"Tigers","2316","6039","149","582","556","57","6.5 %","26.4 %",".148",".308",".240",".294",".388",".290","77","-6.8","-186.3","-53.8","-2.6","582","149","391","48","1595"
"Marlins","2402","6045","146","615","593","55","6.5 %","24.3 %",".134",".300",".241",".298",".375",".288","79","-23.9","-195.2","26.3","2.6","615","146","395","73","1469"
